listing_id,title,price,bhk,area_sqft,age_years,parking,location,price_per_sqft,price_text,area_text,page_scraped
18018174,3 BHK Independent Builder Floor in Lajpat Nagar,65000000.0,3.0,1800.0,,1.0,,36111.11111111111,₹6.5 Cr,1800 sq.ft,346
17413493,3 BHK Flat in Sector 11 Dwarka,35000000.0,3.0,1900.0,1.0,1.0,Sector 11,18421.052631578947,₹3.5 Cr,1900 sq.ft,346
17414947,4 BHK Flat in Sector 4 Dwarka,39500000.0,4.0,2600.0,1.0,1.0,Sector 4,15192.307692307691,₹3.95 Cr,2600 sq.ft,346
17857493,4 BHK Independent Builder Floor in Greater Kailash,90000000.0,4.0,3600.0,1.0,,,25000.0,₹9.0 Cr,3600 sq.ft,346
18410962,5 BHK Duplex in Greater Kailash I,140000000.0,5.0,3500.0,1.0,,,40000.0,₹14.0 Cr,3500 sq.ft,346
18154103,4 BHK Independent Builder Floor in Pitampura,52500000.0,4.0,2100.0,1.0,1.0,,25000.0,₹5.25 Cr,2100 sq.ft,346
18154127,4 BHK Independent Builder Floor in Pitampura,60000000.0,4.0,2480.0,1.0,1.0,,24193.548387096773,₹6.0 Cr,2480 sq.ft,346
18154014,3 BHK Independent Builder Floor in Pitampura,25500000.0,3.0,1125.0,1.0,1.0,,22666.666666666668,₹2.55 Cr,1125 sq.ft,346
18154052,3 BHK Independent Builder Floor in Pitampura,29000000.0,3.0,1080.0,1.0,1.0,,26851.85185185185,₹2.9 Cr,1080 sq.ft,346
18154218,3 BHK Independent Builder Floor in Pitampura,27000000.0,3.0,1550.0,1.0,1.0,,17419.354838709678,₹2.7 Cr,1550 sq.ft,346
18154273,3 BHK Independent Builder Floor in Pitampura,62500000.0,3.0,2475.0,1.0,1.0,,25252.52525252525,₹6.25 Cr,2475 sq.ft,346
18154297,4 BHK Independent Builder Floor in Pitampura,59000000.0,4.0,2700.0,1.0,1.0,,21851.85185185185,₹5.9 Cr,2700 sq.ft,346
18120477,4 BHK Independent Builder Floor in Model Town,44500000.0,4.0,2448.0,1.0,1.0,,18178.104575163397,₹4.45 Cr,2448 sq.ft,346
17610763,3 BHK Flat in Sector 12 Dwarka,26000000.0,3.0,1800.0,1.0,1.0,Sector 12,14444.444444444445,₹2.6 Cr,1800 sq.ft,346
16244526,2 BHK Flat in Rajouri Garden,12500000.0,2.0,700.0,1.0,1.0,,17857.14285714286,₹1.25 Cr,700 sq.ft,346
18465586,3 BHK Flat in Sector 11 Dwarka,26500000.0,3.0,1600.0,1.0,1.0,Sector 11,16562.5,₹2.65 Cr,1600 sq.ft,346
17798668,3 BHK Flat in Vikaspuri,14500000.0,3.0,1200.0,1.0,1.0,,12083.333333333334,₹1.45 Cr,1200 sq.ft,346
11311773,3 BHK Independent Builder Floor in Sector 8 Rohini,11000000.0,3.0,800.0,,1.0,Sector 8,13750.0,₹1.1 Cr,800 sq.ft,346
18122500,3 BHK Independent Builder Floor in Rajpur,65.0,3.0,1100.0,1.0,,,0.05909090909090909,₹65.0,1100 sq.ft,346
17430954,3 BHK Flat in Sector 3 Dwarka,27799999.999999996,3.0,1700.0,1.0,1.0,Sector 3,16352.941176470586,₹2.78 Cr,1700 sq.ft,347
17436688,3 BHK Flat in Sector 19 Dwarka,26500000.0,3.0,1700.0,1.0,1.0,Sector 19,15588.235294117647,₹2.65 Cr,1700 sq.ft,347
15031374,2 BHK Independent Builder Floor in Sector 17 Dwarka,13000000.0,2.0,800.0,1.0,1.0,Sector 17,16250.0,₹1.3 Cr,800 sq.ft,347
18393419,4.5 BHK Independent Builder Floor in Safdarjung Enclave,135000000.0,5.0,4500.0,1.0,,,30000.0,₹13.5 Cr,4500 sq.ft,347
18393248,4 BHK Duplex in Safdarjung Enclave,90000000.0,4.0,2800.0,1.0,,,32142.85714285714,₹9.0 Cr,2800 sq.ft,347
18257486,4 BHK Independent Builder Floor in New Friends Colony,85000000.0,4.0,4500.0,,,,18888.88888888889,₹8.5 Cr,4500 sq.ft,347
18083590,4 BHK Independent Builder Floor in Ashok Vihar,44500000.0,4.0,2100.0,1.0,1.0,,21190.47619047619,₹4.45 Cr,2100 sq.ft,347
18260244,3 BHK Independent Builder Floor in Chittaranjan Park,37500000.0,3.0,1440.0,1.0,,,26041.666666666668,₹3.75 Cr,1440 sq.ft,347
18108357,3 BHK Independent Builder Floor in Paschim Vihar,17500000.0,3.0,1700.0,1.0,,,10294.117647058823,₹1.75 Cr,1700 sq.ft,347
17604402,2 BHK Flat in Vasant Kunj,27500000.0,2.0,1100.0,1.0,1.0,,25000.0,₹2.75 Cr,1100 sq.ft,347
17768608,12 BHK Villa in Janakpuri,160000000.0,12.0,1665.0,,1.0,,96096.0960960961,₹16.0 Cr,1665 sq.ft,347
17744581,3 BHK Independent Builder Floor in Dakshinpuri,37000000.0,3.0,1440.0,1.0,1.0,,25694.444444444445,₹3.7 Cr,1440 sq.ft,347
17817695,2 BHK Flat in Chhattarpur,50.0,2.0,900.0,1.0,1.0,,0.05555555555555555,₹50.0,900 sq.ft,347
18432290,3 BHK Flat in Sector 9 Dwarka,29500000.0,3.0,2000.0,1.0,1.0,Sector 9,14750.0,₹2.95 Cr,2000 sq.ft,347
17969105,3 BHK Flat in Sector 7 Dwarka,26800000.0,3.0,1700.0,1.0,,Sector 7,15764.70588235294,₹2.68 Cr,1700 sq.ft,347
17169431,3 BHK Independent Builder Floor in Patel Nagar,15500000.0,3.0,1650.0,1.0,1.0,,9393.939393939394,₹1.55 Cr,1650 sq.ft,347
17266594,2 BHK Independent House in Patel Nagar,16500000.0,2.0,900.0,1.0,1.0,,18333.333333333332,₹1.65 Cr,900 sq.ft,347
18388532,4 BHK Independent Builder Floor in Greater Kailash,95000000.0,4.0,2200.0,1.0,,,43181.818181818184,₹9.5 Cr,2200 sq.ft,347
17118729,3 BHK Independent Builder Floor in Vikaspuri,31000000.0,3.0,1800.0,1.0,1.0,,17222.222222222223,₹3.1 Cr,1800 sq.ft,347
18064971,4 BHK Independent Builder Floor in Paschim Vihar,65000000.0,4.0,2700.0,1.0,1.0,,24074.074074074073,₹6.5 Cr,2700 sq.ft,347
18065027,4 BHK Independent Builder Floor in Paschim Vihar,60500000.0,4.0,2700.0,1.0,1.0,,22407.40740740741,₹6.05 Cr,2700 sq.ft,347
18065076,4 BHK Independent Builder Floor in Paschim Vihar,47500000.0,4.0,3006.0,1.0,1.0,,15801.72987358616,₹4.75 Cr,3006 sq.ft,347
18244914,2 BHK Flat in Sector 14 Dwarka,22900000.0,2.0,1500.0,1.0,,Sector 14,15266.666666666666,₹2.29 Cr,1500 sq.ft,347
17575750,3 BHK Flat in Sector 22 Dwarka,30000000.0,3.0,1800.0,1.0,1.0,Sector 22,16666.666666666668,₹3.0 Cr,1800 sq.ft,347
18221876,2 BHK Flat in Khanpur,35.5,2.0,650.0,1.0,1.0,,0.054615384615384614,₹35.5,650 sq.ft,347
18440162,4 BHK Flat in Sector 11 Dwarka,34500000.0,4.0,2250.0,1.0,1.0,Sector 11,15333.333333333334,₹3.45 Cr,2250 sq.ft,347
18440432,3 BHK Flat in Sector 11 Dwarka,24500000.0,3.0,1900.0,1.0,1.0,Sector 11,12894.736842105263,₹2.45 Cr,1900 sq.ft,347
18273177,3 BHK Independent Builder Floor in Dabri,75.0,3.0,920.0,1.0,,,0.08152173913043478,₹75.0,920 sq.ft,347
17611252,3 BHK Independent Builder Floor in Sector 17 Rohini,15500000.0,3.0,1200.0,1.0,1.0,Sector 17,12916.666666666666,₹1.55 Cr,1200 sq.ft,347
18388086,4 BHK Independent Builder Floor in Chittaranjan Park,90000000.0,4.0,2200.0,1.0,1.0,,40909.09090909091,₹9.0 Cr,2200 sq.ft,347
18052179,3 BHK Independent Builder Floor in Paschim Vihar,32500000.0,3.0,1683.0,1.0,1.0,,19310.75460487225,₹3.25 Cr,1683 sq.ft,348
18053362,4 BHK Independent Builder Floor in Paschim Vihar,40000000.0,4.0,2160.0,1.0,1.0,,18518.51851851852,₹4.0 Cr,2160 sq.ft,348
17306394,2 BHK Flat in Sector 3 Dwarka,95.0,2.0,1050.0,1.0,1.0,Sector 3,0.09047619047619047,₹95.0,1050 sq.ft,348
17694548,3 BHK Flat in Sarita Vihar,30000000.0,3.0,2000.0,1.0,1.0,,15000.0,₹3.0 Cr,2000 sq.ft,348
16990527,3.5 BHK Flat in Sector 22 Dwarka,28000000.0,5.0,2250.0,1.0,,Sector 22,12444.444444444445,₹2.8 Cr,2250 sq.ft,348
17320475,2 BHK Flat in Satbari,53.0,2.0,900.0,1.0,,,0.058888888888888886,₹53.0,900 sq.ft,348
18385466,3 BHK Independent Builder Floor in Defence Colony,105000000.0,3.0,2100.0,1.0,1.0,,50000.0,₹10.5 Cr,2100 sq.ft,348
17454659,2 BHK Independent Builder Floor in Sector 6 Rohini,70.0,2.0,650.0,1.0,1.0,Sector 6,0.1076923076923077,₹70.0,650 sq.ft,348
18223308,3 BHK Independent Builder Floor in Safdarjung Enclave,55000000.0,3.0,1800.0,1.0,1.0,,30555.555555555555,₹5.5 Cr,1800 sq.ft,348
18224275,4 BHK Duplex in Safdarjung Enclave,115000000.0,4.0,2700.0,1.0,1.0,,42592.59259259259,₹11.5 Cr,2700 sq.ft,348
17565296,3 BHK Independent Builder Floor in Chittaranjan Park,40000000.0,3.0,1350.0,1.0,,,29629.62962962963,₹4.0 Cr,1350 sq.ft,348
17643855,3 BHK Independent Builder Floor in Sector 3 Rohini,22500000.0,3.0,1100.0,1.0,,Sector 3,20454.545454545456,₹2.25 Cr,1100 sq.ft,348
17663945,4 BHK Independent House in Sector 3 Rohini,33000000.0,4.0,1300.0,1.0,,Sector 3,25384.615384615383,₹3.3 Cr,1300 sq.ft,348
18337402,4 BHK Duplex in Greater Kailash,127500000.0,4.0,2700.0,1.0,1.0,,47222.22222222222,₹12.75 Cr,2700 sq.ft,348
18063238,3 BHK Independent Builder Floor in Ashok Vihar,29500000.0,3.0,1125.0,1.0,1.0,,26222.222222222223,₹2.95 Cr,1125 sq.ft,348
17720320,3 BHK Independent Builder Floor in Sector 7 Rohini,29000000.0,3.0,2000.0,1.0,1.0,Sector 7,14500.0,₹2.9 Cr,2000 sq.ft,348
17219257,3 BHK Flat in Vasant Kunj,35000000.0,3.0,1500.0,1.0,1.0,,23333.333333333332,₹3.5 Cr,1500 sq.ft,348
17294949,2 BHK Flat in Vasant Kunj,27500000.0,2.0,1100.0,1.0,1.0,,25000.0,₹2.75 Cr,1100 sq.ft,348
18222499,4 BHK Independent Builder Floor in Naraina,65000000.0,4.0,2700.0,1.0,1.0,,24074.074074074073,₹6.5 Cr,2700 sq.ft,348
18331359,4 BHK Independent Builder Floor in Rajouri Garden,38000000.0,4.0,2400.0,1.0,1.0,,15833.333333333334,₹3.8 Cr,2400 sq.ft,348
18294917,3 BHK Independent Builder Floor in Mahavir Enclave,85.0,3.0,1000.0,1.0,1.0,,0.085,₹85.0,1000 sq.ft,348
18012137,4 BHK Independent Builder Floor in Greater Kailash,130000000.0,4.0,4500.0,1.0,1.0,,28888.88888888889,₹13.0 Cr,4500 sq.ft,348
17919611,3 BHK Flat in Sector 18 Dwarka,36800000.0,3.0,2100.0,1.0,1.0,Sector 18,17523.809523809523,₹3.68 Cr,2100 sq.ft,348
18379768,5 BHK Farm House in Satbari,400000000.0,5.0,23400.0,1.0,1.0,,17094.017094017094,₹40.0 Cr,23400 sq.ft,348
16416991,3 BHK Independent Builder Floor in Rajouri Garden,28500000.0,3.0,1600.0,1.0,1.0,,17812.5,₹2.85 Cr,1600 sq.ft,348
18120557,3 BHK Independent Builder Floor in Gujranwala Town,23500000.0,3.0,1250.0,1.0,1.0,,18800.0,₹2.35 Cr,1250 sq.ft,348
